               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.013406,           0.0078845,          9.1118e-05,             0.90763,              0.9006,             0.91071,              0.7108,            0.020608,             0.00819,            0.003035,            0.001288,            0.001288,            0.001288
                  90,            0.013313,           0.0076042,           8.851e-05,             0.90688,             0.89688,             0.91637,             0.71563,            0.020606,           0.0082877,           0.0034313,            0.001189,            0.001189,            0.001189
                  91,            0.013446,           0.0077963,          8.7352e-05,             0.89485,             0.90087,             0.91216,             0.71643,            0.020649,           0.0084261,           0.0036122,             0.00109,             0.00109,             0.00109
                  92,             0.01325,           0.0076838,          8.2274e-05,             0.89721,             0.90784,              0.9131,             0.71559,            0.020751,           0.0083678,            0.003854,            0.000991,            0.000991,            0.000991
                  93,            0.013815,           0.0079932,          9.5821e-05,             0.91267,             0.88027,             0.90944,             0.71366,            0.020702,           0.0083508,           0.0050296,            0.000892,            0.000892,            0.000892
                  94,            0.013354,             0.00781,          6.9067e-05,             0.88846,             0.89423,             0.90984,             0.71319,            0.020843,           0.0084369,           0.0041114,            0.000793,            0.000793,            0.000793
                  95,            0.013488,           0.0078376,          7.3756e-05,              0.9099,             0.89099,             0.91178,             0.71676,            0.020876,            0.008568,           0.0036648,            0.000694,            0.000694,            0.000694
                  96,            0.013416,           0.0078856,          5.6687e-05,             0.89765,             0.88738,             0.90892,             0.71568,            0.020747,           0.0085765,           0.0035761,            0.000595,            0.000595,            0.000595
                  97,            0.013237,           0.0077267,           6.224e-05,             0.90486,             0.89038,             0.91156,             0.71641,            0.020725,           0.0085372,           0.0034314,            0.000496,            0.000496,            0.000496
                  98,            0.013045,           0.0077216,          7.2701e-05,             0.91013,             0.88134,             0.91421,             0.71754,            0.020787,           0.0086199,           0.0037254,            0.000397,            0.000397,            0.000397
                  99,             0.01342,           0.0076965,          7.4474e-05,             0.87786,             0.90405,             0.91208,             0.71625,            0.020839,           0.0085517,           0.0037698,            0.000298,            0.000298,            0.000298
